FID,StepWise_Estimate
290999,0.000969868
291370,0.01442582
292775,0.011290353
293042,0.09166495
293043,0.033014212
293044,0.04617027
293045,0.017284175
293095,0.032827382
294352,0.001280678
296985,0.015966253
298351,0.01580878
301266,0.139042776
301267,0.044158651
301269,0.093989933
301268,0.038382797
302487,0.009658838
302947,0.024987243
303623,0.056071339
303999,0.004571333
304750,0.004455964
305236,0.019746801
307351,0.002928764
311378,0.009439582
311417,0.020556032
312033,0.09721271
313402,0.006386207
313942,0.002398755
314253,0.005578089
316455,0.019849379
316576,0.055799033
317196,0.020283142
317723,0.058615289
318246,0.033221259
319236,0.019169912
320537,0.059592702
320538,0.058197363
323072,0.022104141
323075,0.257166811
324786,0.032474321
324828,0.010018223
325535,0.000661453
328818,0.001036694
328819,0.001072298
331193,0.00734551
334375,0.008064254
335225,0.013213947
337512,0.003043432
340424,0.03594788
340432,0.011092357
340519,0.048916872
340518,0.006836728
343640,0.010791042
345677,0.0220343
347953,0.001112533
351159,0.006596132
351982,0.004001232
357096,0.004139083
357394,0.015631845
357395,0.014338985
357498,0.011461494
358082,0.006229121
358432,0.050147196
358676,0.023598565
359026,0.075696206
359152,0.070451813
359722,0.001665228
360010,0.029390354
363651,0.012313696
364243,0.013740004
364913,0.002388925
366869,0.002003556
367627,0.013025702
367641,0.008163975
370454,0.014820419
372094,0.010085132
13176,0.018280237
381562,0.033875514
381992,0.035700367
383854,0.001494211
386096,0.003735849
386833,0.017752599
386819,0.005579365
391172,0.002275492
391612,0.001626875
391801,0.017203028
393453,0.030822899
394449,0.011828451
395450,0.021550807
398560,0.059129859
398642,0.00591817
399053,0.007724934
399667,0.025444208
400377,0.002323123
400492,0.071989381
400884,0.041514006
400885,0.047220787
403178,0.011838333
404488,0.002969599
406440,0.028752966
407026,0.002925462
410312,0.012064447
410313,0.012357184
410645,0.003681029
412349,0.006543007
417361,0.146151794
417726,0.009421386
419712,0.015541036
419897,0.00405628
422046,0.001995042
423495,0.002655248
428135,0.021913755
429271,0.015192328
429272,0.018314235
429836,0.009247402
433018,0.052356168
434320,0.000759702
435106,0.152096527
435645,0.016542531
435989,0.004079945
440489,0.001019367
439592,0.026070974
441084,0.018102274
441938,0.00879034
442522,0.011126517
442544,0.001280804
443823,0.013878187
446967,0.130477056
447292,0.056436588
448242,0.018160371
448324,0.008284614
12169,0.001555351
282343,0.002656887
133536,0.020153363
13677,0.134906297
395937,0.075141352
21370,0.021427683
167134,0.096407902
167135,0.092919139
51334,0.022499597
261907,0.014362257
431388,0.012211164
288881,0.058139281
309794,0.032149841
285907,0.020052175
293332,0.057124741
293333,0.051998584
35938,0.005539785
102520,0.014025473
119722,0.031292174
172174,0.013004233
172175,0.010324489
189633,0.014161659
260282,0.03531333
260617,0.010398079
331984,0.01018485
356780,0.017002305
381537,0.011428651
384601,0.013333994
401737,0.01392624
401738,0.013425603
424587,0.006737907
437522,0.003376976
163485,0.002047958
202632,0.020910925
325691,0.000856387
30194,0.134361587
45403,0.00900957
74574,0.02866508
76429,0.01851473
81207,0.001158116
100371,0.024880638
116195,0.029099015
167388,0.10701971
185808,0.03168071
211541,0.010771008
215707,0.002099976
224790,0.024583945
272172,0.012370768
287244,0.108577689
328979,0.010189408
331588,0.001187476
335497,0.026344826
355996,0.025836726
391802,0.006330953
418145,0.007467424
421448,0.010600101
425274,0.003923222
112272,0.008216697
117146,0.010870772
117147,0.012898681
157792,0.01554011
164963,0.003329306
194505,0.04728039
245293,0.001075935
276791,0.028227782
292659,0.015581994
340087,0.003593897
348383,0.007759713
419388,0.010270424
419393,0.010429612
11412,0.007689424
130577,0.022554252
154255,0.00102134
72772,0.103799568
195286,0.032302761
73072,0.03416514
97177,0.051162023
143167,0.005158912
20110,0.001266853
299748,0.002119585
381092,0.040744184
441618,0.010819064
72066,0.134498116
76643,0.033506106
54196,0.009990889
2498,0.106987784
92491,0.001051079
167684,0.000980339
364071,0.010825699
199284,0.047188726
51083,0.047376754
4553,0.021510041
8082,0.005786241
8083,0.005937305
11952,0.017833943
12330,0.028361577
12823,0.029540836
13426,0.020923118
16321,0.007064658
21958,0.05620292
22404,0.004388426
23633,0.042319292
23760,0.00102748
25290,0.031970199
25365,0.050604643
25691,0.013129417
26701,0.003972611
26888,0.033333329
27408,0.012007334
28709,0.009175205
28756,0.066184653
29611,0.003344651
33507,0.093184459
33508,0.112853394
33509,0.042248014
33751,0.02891424
33871,0.008298607
34011,0.00464542
34010,0.016057028
35194,0.006733949
36212,0.00364166
40046,0.012498686
42870,0.089624602
43140,0.00097397
43513,0.030142085
43796,0.00638066
46143,0.01393713
48165,0.014051446
50076,0.004517118
51308,0.004375683
52046,0.036691628
52148,0.031451753
53876,0.007442827
53877,0.027924848
55240,0.018258833
56018,0.026542587
56555,0.041880996
58716,0.001286845
60682,0.033328158
61497,0.017020677
61804,0.012597118
61989,0.020651061
62074,0.01359305
62075,0.028375968
62405,0.037418039
62406,0.012235527
63894,0.009422025
64198,0.024818865
64224,0.009231548
257618,0.107288506
65387,0.001585413
70117,0.014107036
72404,0.008032278
75470,0.000855138
76290,0.028759781
76291,0.02650629
76851,0.025378968
77065,0.034817643
84765,0.01987802
86612,0.005180086
87521,0.050226205
89181,0.003088277
90656,0.002141615
89585,0.01249771
91075,0.005880299
92390,0.002252521
92716,0.014277653
93164,0.017390962
93703,0.022714727
95174,0.048644173
95710,0.024402435
96318,0.08854644
96628,0.009434821
98811,0.005302628
98831,0.005877399
101645,0.004315318
105639,0.093214737
105640,0.037827376
107578,0.031402485
107800,0.02086693
107998,0.018801846
110591,0.003168476
110592,0.030624665
111640,0.000951659
118863,0.001882601
121893,0.007139113
130442,0.012398057
133874,0.065965255
134191,0.006286596
134446,0.004079132
134445,0.09576618
134447,0.106969042
135119,0.001261663
135305,0.051015313
137585,0.019217742
139188,0.014398223
139434,0.017143889
142002,0.014685461
142316,0.003629822
142702,0.020790537
145076,0.102451145
145759,0.05420467
147508,0.009566031
147803,0.002106066
149676,0.021520967
150002,0.00127927
150229,0.053586462
151034,0.00545214
152430,0.002345522
153714,0.015307353
154016,0.002682513
156840,0.016223099
158119,0.016896145
159847,0.009187456
162070,0.001283143
167692,0.032602178
167765,0.016347113
